   ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    au81       .2806993              .                          .1578798                  .                       .                     .                   .2951364                         .                              .                       .                     .1578798                           .                                .                    .           .           .           .    .2812441                 .               .2951414                     .                          .   9810.939             0     13.3462          0               7541.802                 0                          0                     0              0           0           0           0    9756.727     .9983251  
    au85       .2915426              .                          .1630591                  .                       .                     .                   .3097419                         .                              .                       .                     .1630591                           .                                .                    .           .           .           .    .2936599                 .                .309748                     .                          .    13353.7             0     34.9305          0               10614.03                 0                          0                     0              0           0           0           0    13281.35     .9979807  
    au89       .3024854              .                          .1801883                  .                .1818001                     .                   .3185874                         .                       .3180978                       .                     .1801883                           .                         .1818001                    .           .           .           .    .3028251                 .               .3192928                     .                    .318732   18798.42      6057.038    52.16582          0               15275.31                 0                   14445.29                     0       2363.814           0           0           0    18764.26     .9979368  
    au95       .3043028              .                          .1360043                  .                .1425577                     .                   .3272812                         .                       .3260088                       .                     .1360043                           .                         .1425577                    .           .           .           .    .3049238                 .               .3289331                     .                   .3273133   21207.11      1416.435    119.8809          0                18228.4                 0                    17285.6                     0       1416.407           0           0           0    21097.89     .9904961  
    au01       .3141239              .                          .1398389                  .                .1458913                     .                   .3400611                         .                       .3389496                       .                     .1398389                           .                         .1458913                    .           .           .           .    .3146903                 .               .3419046                     .                   .3404069   27418.53      1820.453    188.1917          0               23842.95                 0                   22628.32                     0       1820.434           0           0           0       27386     .9914727  
    au03       .3098915              .                          .1401551                  .                .1452797                     .                   .3367746                         .                       .3357625                       .                     .1401551                           .                         .1452797                    .    .4835178    .4137664    .3647899    .3105161                 .               .3388431                     .                   .3374248   29554.82      2059.311    219.0015          0               26438.74                 0                   25167.76                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635  
    au08       .3332253              .                          .1789311                  .                .1869179                     .                   .3522008                         .                       .3510525                       .                     .1789311                           .                         .1869179                    .    .4886345    .4241046    .3827727    .3332824                 .               .3523761                     .                   .3512595   47415.62      10360.25    761.3362          0               38119.43                 0                   36203.25                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684  
    au10       .3307087              .                          .1808257                  .                       .                     .                   .3487523                         .                              .                       .                     .1808257                           .                                .             .3308726    .4897411    .4173017    .3706866    .3273645                 .                 .34884                     .                          .   49767.94             0    738.6381          0               39877.02                 0                          0                     0              0    53172.87    58361.59    61747.46    49982.56     .9894075  
    at87       .2272546              .                          .1286049                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   172301.5             0           0          0                      0                 0                          0                     0              0           0           0           0           0            1  
    at97       .2647885              .                          .1472943                  .                .1489357                     .                    .290981                         .                       .2905157                       .                     .1472943                           .                         .1489357                    .           .           .           .           .                 .               .2910018                     .                   .2905844   241326.8      18567.22    3204.739          0                 201902                 0                   195598.3                     0       18566.98           0           0           0           0     .8916516  
    at00       .2562159              .                          .1428444                  .                 .147556                     .                   .2809432                         .                       .2797866                       .                     .1428444                           .                          .147556                    .           .           .           .           .                 .               .2809628                     .                   .2798896   263713.9      12453.82    3418.961          0               220529.7                 0                   213721.8                     0       12453.43           0           0           0           0     .9076501  
    at04       .2684039              .                          .1401649                  .                .1440078                     .                   .2968515                         .                       .2958466                       .                     .1401649                           .                         .1440078                    .    .4578143    .3368939    .3101777    .2686187                 .               .2977202                     .                   .2967371   22561.14      5805.177    181.0898          0               19212.13                 0                   18610.85                     0       2787.795    27525.01    33867.86    35750.75    22549.44     .9995477  
    at07       .2842839              .                          .1416825                  .                .1463333                     .                   .3133322                         .                       .3122078                       .                     .1416825                           .                         .1463333                    .     .483903    .3678367    .3380716    .2844822                 .               .3137446                     .                   .3126045   24583.28      4894.945    239.1595          0               20214.04                 0                   19540.08                     0       3030.605    31047.21    36981.37       39161    24513.91     .9984761  
    at10       .2792102              .                          .1437005                  .                .1485558                     .                   .3072622                         .                       .3060523                       .                     .1437005                           .                         .1485558                    .           .           .           .    .2792113                 .               .3076649                     .                   .3064449   27366.04      5921.444    263.4007          0               23179.08                 0                   22318.97                     0       3491.274           0           0           0    27313.22     .9991698  
    at13       .2804496              .                          .1380043                  .                .1433064                     .                   .3116586                         .                        .310256                       .                     .1380043                           .                         .1433064                    .     .498194    .3676159    .3341645    .2810524                 .               .3120511                     .                   .3106282   29111.97      5923.832    272.5468          0               25290.42                 0                      24301                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824  
    be85       .2264945              .                          .1283424                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .     395384             0    1300.301          0                      0                 0                          0                     0              0           0           0           0           0     .9981444  
    be88        .232142              .                          .1306796                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   432344.6             0    1369.518          0                      0                 0                          0                     0              0           0           0           0           0     .9960505  
    be92       .2224754              .                          .1267465                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2226235                 .                      .                     .                          .   515853.7       1726.52    2732.714          0                      0                 0                          0                     0       1726.097           0           0           0    514776.7     .9916937  
    be97       .2496077              .                          .1416012                  .                .1412528                     .                   .2701052                         .                       .2699129                       .                     .1416012                           .                         .1412528                    .           .           .           .    .2496077                 .               .2701158                     .                   .2699628   646403.4      109852.7    3086.913          0               524301.2                 0                   497057.3                     0       8280.255           0           0           0    646403.4     .9975922  
    br06       .5021862              .                          .2763928                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .5021852                 .                      .                     .                          .   10595.71      249.2792    66.85338          0                      0                 0                          0                     0       248.8355           0           0           0    10595.72     .9712804  
    br09        .478296              .                           .262257                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .4782951                 .                      .                     .                          .   13454.27      332.7675    51.15363          0                      0                 0                          0                     0       332.3161           0           0           0    13454.29     .9658524  
    br11       .4693231              .                          .2570192                  .                       .                     .                   .5276379                         .                              .                       .                     .2570192                           .                                .                    .           .           .           .    .4693226                 .               .5276662                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .     .9444996  
    br13       .4601099              .                          .2504317                  .                       .                     .                   .5142247                         .                              .                       .                     .2504317                           .                                .                    .           .           .           .    .4601097                 .               .5142508                     .                          .   19513.43      579.3281    41.39846          0               17666.01                 0                          0                     0       578.8707           0           0           0    19513.43     .9442888  
    ca71       .3151157              .                          .1772774                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   4330.802             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9882671  
    ca75       .2880325              .                          .1613297                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   7433.257             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9929141  
    ca81       .2830675              .                          .1588878                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   13848.72             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9961444  
    ca87       .2821398              .                           .157415                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   19785.42             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9982343  
    ca91         .28056              .                          .1567865                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   23927.44             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9975114  
    ca94       .2835518              .                          .1586653                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   24793.41             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9976541  
    ca97       .2911792              .                          .1629727                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   26064.89             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9986725  
